conllu_index,correct,incorrect
127,"Gdy spętane konie pasły się na polanie, pachołcy i dworzanie spali smacznie na trawie, przy ogniu kucharczyk sprawiał świeżo upolowanego warchlaka - pan Sapieha siedział przed namiotem i rozmyślał nad drogą, którą teraz iść wypadnie.","Gdy spętane konie pasły się na polanie, pachołcy i dworzanie spali smacznie na trawie, przy ogniu kucharczyk sprawiał świeżo upolowanego warchlaka - pan Sapieha siedział przed namiotem i rozmyślał nad drogą, którą teraz iść wypadnie."
128,"Cesarz zaszczycał go swoją przyjaźnią, a niedawno, gdy do Rzymu chory jechał, obdarował złotym kluczem.","Cesarz zaszczycał go swoją przyjaźnią, a niedawno, gdy do Rzymu chory jechał, obdarował złotym kluczem."
130,"Niechaj mnie Bóg zachowa, żebym miał za tym przykładem do innej jakowej instytucji od wyroku Najdostojniejszego Majestatu Piotrowego apelować.","Niechaj mnie Bóg zachowa, żeby m miał za tym przykładem do innej jakowej instytucji od wyroku Najdostojniejszego Majestatu Piotrowego apelować."
139,Łowczy pochylił się nad nim.,Łowczy pochylił się nad nim.
141,Zadymka ustała.,Zadymka ustała.
151,"""Pamiętaj tylko, że to Matka nasza"" - stanęły znów w pamięci słowa sędziwego kardynała de Torres.","""Pamiętaj tylko, że to Matka nasza"" - stanęły znów w pamięci słowa sędziwego kardynała de Torres."
153,"Świeca wypadła z palców, potoczyła się po kamieniach i zgasła.","Świeca wypadła z palców, potoczyła się po kamieniach i zgasła."
154,"Pan Sapieha tego nie zauważył, czując się w kręgu jasności.","Pan Sapieha tego nie zauważył, czując się w kręgu jasności."
157,Kardynał padrone szedł już na spotkanie.,Kardynał padrone szedł już na spotkanie.
164,Marszałek sejmowy zamilkł i spojrzał wyczekująco po obecnych.,Marszałek sejmowy zamilkł i spojrzał wyczekująco po obecnych.
187,"Woźnica i jego pomocnik zeszli, aby zwindować kufry Niechciców, pasażerowie z wnętrza karetki podawali im zapomniane drobiazgi.","Woźnica i jego pomocnik zeszli, aby zwindować kufry Niechciców, pasażerowie z wnętrza karetki podawali im zapomniane drobiazgi."
196,"W samej rzeczy doktór jemu także to mówił, ale teraz co innego przejęło go wzruszeniem.","W samej rzeczy doktór jemu także to mówił, ale teraz co innego przejęło go wzruszeniem."
199,"Pani Barbara zaniedbywała teraz dla matki niejedną z robót domowych, ale samą naprawdę trudno było babcię zostawić, gdyż była bardzo niespokojnego ducha.","Pani Barbara zaniedbywała teraz dla matki niejedną z robót domowych, ale samą naprawdę trudno było babcię zostawić, gdyż była bardzo niespokojnego ducha."
201,Zdarzały się też i gorsze rzeczy.,Zdarzały się też i gorsze rzeczy.
204,"I gdy pani Barbara starała się osłabić czynione Julianowi zarzuty, pani Michalina, by jej zrobić przyjemność, zaczynała go wychwalać z innej beczki.","I gdy pani Barbara starała się osłabić czynione Julianowi zarzuty, pani Michalina, by jej zrobić przyjemność, zaczynała go wychwalać z innej beczki."
208,"Pani Adamowa Ostrzeńska leżała przykryta już nie kołdrą, lecz prześcieradłem po szyję.","Pani Adamowa Ostrzeńska leżała przykryta już nie kołdrą, lecz prześcieradłem po szyję."
225,"W końcu jednak pani Barbara wymogła na mężu przyrzeczenie, że się będzie trochę oszczędzał.","W końcu jednak pani Barbara wymogła na mężu przyrzeczenie, że się będzie trochę oszczędzał."
243,"Lśniące wydęte obłoki żeglowały po modrym niebie; złocisty blask bił od zieleni ogrodu, ciemne liście i krążki światła mieniły się i mrowiły po twarzach, po ziemi, po trawie, gdy lekki wiatr zakołysał powietrzem.","Lśniące wydęte obłoki żeglowały po modrym niebie; złocisty blask bił od zieleni ogrodu, ciemne liście i krążki światła mieniły się i mrowiły po twarzach, po ziemi, po trawie, gdy lekki wiatr zakołysał powietrzem."
246,"Pewnego dnia zrobił się gwałt, gdyż babcia kichnęła w tabakierkę i zasypała sobie tabaką oczy.","Pewnego dnia zrobił się gwałt, gdyż babcia kichnęła w tabakierkę i zasypała sobie tabaką oczy."
248,"Babcia zanosiła się przy tym od krzyku i pani Barbara bała się, że ona samego tego krzyku nie przetrzyma.","Babcia zanosiła się przy tym od krzyku i pani Barbara bała się, że ona samego tego krzyku nie przetrzyma."
256,"Starsze dzieci powymierały, co było, jak mówiono w okolicy, karą Bożą za odwrócenie się pani Florentyny z drogi świętego powołania.","Starsze dzieci powymierały, co było, jak mówiono w okolicy, karą Bożą za odwrócenie się pani Florentyny z drogi świętego powołania."
261,"Podpłynął księżyc, przywarł i zaczął ssać.","Podpłynął księżyc, przywarł i zaczął ssać."
268,"I tu pan Różdżka wyciągnął spod śpiącego na nim kota cennik, skomplikowaną symbiozę zzieleniałych od wilgoci kart, nad którymi pochylając się odchrząknął niemal ze złością: - Helikon nr 4, 150 sestercyj, można dodać pachnące mydełko - i głośno do kota, wpychając mu w brzuch palec wskazujący: - Myrmidon, przynieś helikon nr 4 i mydełko pachnące olibanem.","I tu pan Różdżka wyciągnął spod śpiącego na nim kota cennik, skomplikowaną symbiozę zzieleniałych od wilgoci kart, nad którymi pochylając się odchrząknął niemal ze złością: - Helikon nr 4, 150 sestercyj, można dodać pachnące mydełko - i głośno do kota, wpychając mu w brzuch palec wskazujący: - Myrmidon, przynieś helikon nr 4 i mydełko pachnące olibanem."
276,Naiwny staruszek zakaszlał i wręczył Osiełkowi laskę z czerwoną włóczką.,Naiwny staruszek zakaszlał i wręczył Osiełkowi laskę z czerwoną włóczką.
278,"- Oho, dobry staruszku, Grzywa Centaura przesunęła się na ulicę Szarlatanów - i Osiełek, skłoniwszy się naiwnemu panu, uciekł wymachując laską.","- Oho, dobry staruszku, Grzywa Centaura przesunęła się na ulicę Szarlatanów - i Osiełek, skłoniwszy się naiwnemu panu, uciekł wymachując laską."
287,Tak ich zastał ksiądz Grozd.,Tak ich zastał ksiądz Grozd.
288,"Dyrektor zapoznał Grodzickiego z katechetą, potem pożegnał się i wyszedł.","Dyrektor zapoznał Grodzickiego z katechetą, potem pożegnał się i wyszedł."
289,"Ksiądz zajął fotel dyrektora, oparł o brzeg biurka splecione dłonie, czekał.","Ksiądz zajął fotel dyrektora, oparł o brzeg biurka splecione dłonie, czekał."
290,"Miał oczy przymknięte, blada twarz była bez wyrazu, jakby zabierał się do wysłuchania banalnej spowiedzi.","Miał oczy przymknięte, blada twarz była bez wyrazu, jakby zabierał się do wysłuchania banalnej spowiedzi."
299,"Wysoki kościsty starzec odpowiedział mu gromkim ""Saecula!"" i zapytał o zdrowie.","Wysoki kościsty starzec odpowiedział mu gromkim ""Saecula!"" i zapytał o zdrowie."
300,Katecheta zwięźle opowiedział o swych niedomaganiach i wtrącił słówko o kosztownej kuracji w Karlsbadzie.,Katecheta zwięźle opowiedział o swych niedomaganiach i wtrącił słówko o kosztownej kuracji w Karlsbadzie.
301,"- Wy, świeccy księża, lubicie się pieścić - machnął ręką bernardyn.","- Wy, świeccy księża, lubicie się pieścić - machnął ręką bernardyn."
306,"Wtedy na łąkach podnoszą się mgły, a z kominów chat białawe dymy pachnące sośniną i jałowcem.","Wtedy na łąkach podnoszą się mgły, a z kominów chat białawe dymy pachnące sośniną i jałowcem."
307,Pierwsze gwiazdy toną w duszy młodego człowieka jak w górskim jeziorze .,Pierwsze gwiazdy toną w duszy młodego człowieka jak w górskim jeziorze .
316,Katecheta powoływał się na niego.,Katecheta powoływał się na niego.
321,Lampa przygasła.,Lampa przygasła.
340,"To stary tercjan Michał robił wielkie porządki, tracąc po parę funtów dziennie ze swej wakacyjnej tuszy.","To stary tercjan Michał robił wielkie porządki, tracąc po parę funtów dziennie ze swej wakacyjnej tuszy."
342,"Wysłużony wachmistrz, certyfikatysta, bił w nich kasarnianym słowem jak pięścią, która też była nie od parady.","Wysłużony wachmistrz, certyfikatysta, bił w nich kasarnianym słowem jak pięścią, która też była nie od parady."
343,Pani Zofia była w rozpaczy.,Pani Zofia była w rozpaczy.
355,"Nieczuły na piękno, ksiądz Grozd znajdował upodobanie w samych barwach i jeśli obraz nie posiadał ich w dostatecznej ilości, dopomagał mu tłem z kolorowego papieru.","Nieczuły na piękno, ksiądz Grozd znajdował upodobanie w samych barwach i jeśli obraz nie posiadał ich w dostatecznej ilości, dopomagał mu tłem z kolorowego papieru."
358,"Katecheta obejrzał się za siebie, tak daleka była od niego myśl, że to mógł gwizdnąć docent uniwersytetu i profesor w VIII randze.","Katecheta obejrzał się za siebie, tak daleka była od niego myśl, że to mógł gwizdnąć docent uniwersytetu i profesor w VIII randze."
369,"W poszukiwaniu pisuaru rotmistrz Sołomin zabłądził wśród nieskończonych kuluarów i długo wałęsał się, na próżno szukając zgubionej sali.","W poszukiwaniu pisuaru rotmistrz Sołomin zabłądził wśród nieskończonych kuluarów i długo wałęsał się, na próżno szukając zgubionej sali."
370,"Kiedy wreszcie natrafił na schody i znalazł się na ulicy, kolegów przed pałacem już nie było; najwidoczniej nie mogąc się go doczekać udali się bez niego na miasto.","Kiedy wreszcie natrafił na schody i znalazł się na ulicy, kolegów przed pałacem już nie było; najwidoczniej nie mogąc się go doczekać udali się bez niego na miasto."
374,"Nad wieczorem lunął deszcz i pod chluszczącymi strumieniami wody twarde kontury przedmiotów zafalowały łagodnie, wydłużając się w głąb, jak zanurzone w wartkim, przezroczystym nurcie.","Nad wieczorem lunął deszcz i pod chluszczącymi strumieniami wody twarde kontury przedmiotów zafalowały łagodnie, wydłużając się w głąb, jak zanurzone w wartkim, przezroczystym nurcie."
376,"Tłumy, zdawało się, ogarnął jakiś szał.","Tłumy, zdawało się, ogarnął jakiś szał."
377,"Ludzie biegli, gniotąc i tratując się nawzajem.","Ludzie biegli, gniotąc i tratując się nawzajem."
378,"Tysiące rozwartych podziwem ust podchwyciły cichnący refren ""Międzynarodówki"".","Tysiące rozwartych podziwem ust podchwyciły cichnący refren ""Międzynarodówki""."
379,"I pod wzdętymi żaglami pieśni masy drgnęły, jak tytaniczne okręty, trzeszcząc w spojeniach, zakołysały się na mieliznach jezdni i ciężko ruszyły.","I pod wzdętymi żaglami pieśni masy drgnęły, jak tytaniczne okręty, trzeszcząc w spojeniach, zakołysały się na mieliznach jezdni i ciężko ruszyły."
383,"Wychodząc po chwili z kabiny, szpakowaty pan natknął się w drzwiach na korpulentnego jegomościa w rogowych okularach.","Wychodząc po chwili z kabiny, szpakowaty pan natknął się w drzwiach na korpulentnego jegomościa w rogowych okularach."
391,Gdzieś na dole trzasnęła brama.,Gdzieś na dole trzasnęła brama.
393,Panowała zupełna cisza.,Panowała zupełna cisza.
398,Silne szarpnięcie zmusiło go do otworzenia oczu.,Silne szarpnięcie zmusiło go do otworzenia oczu.
400,Był już dzień.,Był już dzień.
401,Człowiek pochylony nad nim tarmosił go widocznie od dawna .,Człowiek pochylony nad nim tarmosił go widocznie od dawna .
407,"Tylna część kadłuba ""Maurytanii"", zdruzgotana na miazgę, z błyskawiczną szybkością pogrążała się w wodę.","Tylna część kadłuba ""Maurytanii"", zdruzgotana na miazgę, z błyskawiczną szybkością pogrążała się w wodę."
408,Nad falami sterczał jeszcze tylko wystrzelający pionowo dziób.,Nad falami sterczał jeszcze tylko wystrzelający pionowo dziób.
409,"Na dziobie, bodącym niebo, przerzucony przez poręcz wisiał mister Dawid Lingslay.","Na dziobie, bodącym niebo, przerzucony przez poręcz wisiał mister Dawid Lingslay."
414,"Nadawszy do New Yorku testament, mister Dawid Ligslay po raz pierwszy uświadomił sobie treść oklepanego słowa ""wakacje"" i pożałował, że potrwają tak niedługo.","Nadawszy do New Yorku testament, mister Dawid Ligslay po raz pierwszy uświadomił sobie treść oklepanego słowa ""wakacje"" i pożałował, że potrwają tak niedługo."
417,Sen jednak nie przychodził.,Sen jednak nie przychodził.
418,"Poprzewracawszy się z boku na bok, towarzysz Lecoq zapalił papierosa.","Poprzewracawszy się z boku na bok, towarzysz Lecoq zapalił papierosa."
424,"Pośród traktatów, pośród rozpraw świątobliwych ojców, wpadła mu w ręce książka, która zainteresowała go bardziej niż inne.","Pośród traktatów, pośród rozpraw świątobliwych ojców, wpadła mu w ręce książka, która zainteresowała go bardziej niż inne."
425,"Bogobojny ""ojciec"" demaskował w niej jakąś współczesną herezję, imieniem: socjalizm.","Bogobojny ""ojciec"" demaskował w niej jakąś współczesną herezję, imieniem: socjalizm."
431,Mijały miesiące.,Mijały miesiące.
432,W fabryce robota posuwała się szybko.,W fabryce robota posuwała się szybko.
443,"Do bocznych drzwi gwarliwym potokiem, popychając się i depcąc, parł nieprzeliczony czarny tłum.","Do bocznych drzwi gwarliwym potokiem, popychając się i depcąc, parł nieprzeliczony czarny tłum."
445,"Przypomniała mu się taka sama zbałwaniona rzeka ludzi, cisnących się w Halach po miskę cebulowej zupy.","Przypomniała mu się taka sama zbałwaniona rzeka ludzi, cisnących się w Halach po miskę cebulowej zupy."
447,"Na trzeci dzień, w porannym raporcie, po konwencjonalnych zwrotach, że w państwie panuje spokój i wypadków naruszania praworządności nie zanotowano, kancelaria donosiła dyktatorowi, iż jest rzeczą niezbędną zdefiniowanie na nowo pojęcia nie praworządności i wydesygnowanie bodaj kilku przestępców, bowiem policja bez przestępców zaczyna powątpiewać o swej autentycznej realności.","Na trzeci dzień, w porannym raporcie, po konwencjonalnych zwrotach, że w państwie panuje spokój i wypadków naruszania praworządności nie zanotowano, kancelaria donosiła dyktatorowi, iż jest rzeczą niezbędną zdefiniowanie na nowo pojęcia nie praworządności i wydesygnowanie bodaj kilku przestępców, bowiem policja bez przestępców zaczyna powątpiewać o swej autentycznej realności."
449,"Myśl o ojcu zjawiła się groźnie i szarpnęła do głębi - ...Ach, cóż by ojciec na to, że Feluś spiskuje, że Feluś przysięgał nienawiść Mikołajowi... że Feluś może jutro wyjdzie na ulice warszawskie z żelazem w dłoni!...","Myśl o ojcu zjawiła się groźnie i szarpnęła do głębi - ...Ach, cóż by ojciec na to, że Feluś spiskuje, że Feluś przysięgał nienawiść Mikołajowi... że Feluś może jutro wyjdzie na ulice warszawskie z żelazem w dłoni!..."
451,"Karczma stała pośrodku wsi, w miejscu gdzie wyboisty gościniec rozlewał się nagle, przechodząc w rozległy, zagnojony plac, pełen wiekuistych dziur i nigdy nie wysychających, smrodliwych bajorek.","Karczma stała pośrodku wsi, w miejscu gdzie wyboisty gościniec rozlewał się nagle, przechodząc w rozległy, zagnojony plac, pełen wiekuistych dziur i nigdy nie wysychających, smrodliwych bajorek."
455,"""Widzę, że nie na próżno mówią..."" - kruszyły mu się te słowa w świadomości, wstrząśniętej do głębi.","""Widzę, że nie na próżno mówią..."" - kruszyły mu się te słowa w świadomości, wstrząśniętej do głębi."
457,"- Gorejące, w rozwarciu wysilone oczy zionęły grozą, wściekłością i rozpaczą; w okna pogasłe, jakby tchem czyimś okropnym zdmuchnięte, w mury oślepłe, nieporuszone - zimne i czarne, w bramy brutalnie zatrzaśnięte - Szpada Wysockiego łyskała przed kolumną gniewnym, stalowym zygzakiem...","- Gorejące, w rozwarciu wysilone oczy zionęły grozą, wściekłością i rozpaczą; w okna pogasłe, jakby tchem czyimś okropnym zdmuchnięte, w mury oślepłe, nieporuszone - zimne i czarne, w bramy brutalnie zatrzaśnięte - Szpada Wysockiego łyskała przed kolumną gniewnym, stalowym zygzakiem..."
459,"Kawiarnia, ""Dziurką"" zwana, znajdowała się w antresoli dawnego Tepperowskiego pałacu.","Kawiarnia, ""Dziurką"" zwana, znajdowała się w antresoli dawnego Tepperowskiego pałacu."
471,"Kancelaria dworska zmieniła się na biuro komisarskie, chętliwie użyczona na ten cel przez pana Czartkowskiego.","Kancelaria dworska zmieniła się na biuro komisarskie, chętliwie użyczona na ten cel przez pana Czartkowskiego."
474,Komisarz urzędował w godzinach przedpołudniowych.,Komisarz urzędował w godzinach przedpołudniowych.
476,"Gdy już drzwi zamknęły się za ostatnim, pan Słoiwiński westchnął rozgłośnie, a głęboko, podług miary komisarskiego trudu.","Gdy już drzwi zamknęły się za ostatnim, pan Słoiwiński westchnął rozgłośnie, a głęboko, podług miary komisarskiego trudu."
477,"Lud na kościele wespół uczynił to samo mnóstwem rąk do czół biegnących, do piersi i do ramion.","Lud na kościele wespół uczynił to samo mnóstwem rąk do czół biegnących, do piersi i do ramion."
478,"Za czym ksiądz Bończa biret z głowy zgarnąwszy, dłonią prawą na bak odłożył, lewą zaś jął przewracać karty w pękatym ewangeliarzu.","Za czym ksiądz Bończa biret z głowy zgarnąwszy, dłonią prawą na bak odłożył, lewą zaś jął przewracać karty w pękatym ewangeliarzu."
479,"Po czym pan komisarz nie czekając odpowiedzi grzebie w papierach rozłożonych na stole, wyszukuje w nich ustęp odnoszący się do pretensji owego Trząski (czy Półtoraka) - i tym samym pięknym, jakby księżowskim głosem odczytuje potoczyście, prędko a obojętnie.","Po czym pan komisarz nie czekając odpowiedzi grzebie w papierach rozłożonych na stole, wyszukuje w nich ustęp odnoszący się do pretensji owego Trząski (czy Półtoraka) - i tym samym pięknym, jakby księżowskim głosem odczytuje potoczyście, prędko a obojętnie."
480,"Chłop słucha pilnie i łakomie, goni słowa i zdania i dziwuje się, że to tam ano wszystko tak akuratnie, tak rzetelnie przez Kaźmirka opisane w tych papierach...","Chłop słucha pilnie i łakomie, goni słowa i zdania i dziwuje się, że to tam ano wszystko tak akuratnie, tak rzetelnie przez Kaźmirka opisane w tych papierach..."
481,Więc gdy w pewnej chwili turkot z nagła zadudnił na gościńcu za plecami Wawrzona - chłop przystanął i zwrócił się w tamtą stronę.,Więc gdy w pewnej chwili turkot z nagła zadudnił na gościńcu za plecami Wawrzona - chłop przystanął i zwrócił się w tamtą stronę.
482,To pleban kawęczyński jechał dwukonnym wózkiem do miasta.,To pleban kawęczyński jechał dwukonnym wózkiem do miasta.
484,Wózek zwolnił biegu i przystanął.,Wózek zwolnił biegu i przystanął.
486,Nie wiedziałem o tym! - mruknął chirurg rozkładając ręce.,Nie wiedział em o tym! - mruknął chirurg rozkładając ręce.
487,"W tej chwili ruch się uczynił od drzwi, stuk licznych kroków i brzęczenie ostróg.","W tej chwili ruch się uczynił od drzwi, stuk licznych kroków i brzęczenie ostróg."
489,Generał Rautensztrauch podszedł ku niemu i w służbistej postawie raportował coś długo po francusku.,Generał Rautensztrauch podszedł ku niemu i w służbistej postawie raportował coś długo po francusku.
490,"Ów pożar gaśnie sycząc i dymiąc, a ja buch! leżę na ciepłym zgorzelisku i skubię zębami trawkę... no, mówię wam, świeżutką wiosenną trawkę!...","Ów pożar gaśnie sycząc i dymiąc, a ja buch! leżę na ciepłym zgorzelisku i skubię zębami trawkę... no, mówię wam, świeżutką wiosenną trawkę!..."
497,"Ów to miękki ucisk przypomniał pannie Anieli pewną altankę z brzozowych prętów, otoczoną ciemnymi świerkami, w najgęstszej części parku, przytykającej do ścian dworu.","Ów to miękki ucisk przypomniał pannie Anieli pewną altankę z brzozowych prętów, otoczoną ciemnymi świerkami, w najgęstszej części parku, przytykającej do ścian dworu."
519,"Stary oparł się o ścianę, jak gdyby zamierzał długo pozostać na tym rewirze.","Stary oparł się o ścianę, jak gdyby zamierzał długo pozostać na tym rewirze."
522,"Pan Albin i Fornalski trzymali Palmiaka za ręce, Specjalny starał się go uspokoić słowami: - Mietek, no, Mietek... dajże pokój... nie ma o co... uspokój się.","Pan Albin i Fornalski trzymali Palmiaka za ręce, Specjalny starał się go uspokoić słowami: - Mietek, no, Mietek... daj że pokój... nie ma o co... uspokój się."
532,"Co pewien czas panny wymyślały takie wieloznaczne słowa i ruchy wzbudzające śmiech i mające na celu skrócenie skomplikowanych określeń: ""jesteś pan ciężkomyślący"" - w odniesieniu do Janika, lub: ""jesteś pan nieprzytomny"" - w odniesieniu do Kantary.","Co pewien czas panny wymyślały takie wieloznaczne słowa i ruchy wzbudzające śmiech i mające na celu skrócenie skomplikowanych określeń: ""jesteś pan ciężkomyślący"" - w odniesieniu do Janika, lub: ""jesteś pan nieprzytomny"" - w odniesieniu do Kantary."
539,"Z korytarza wszedł parobek Wicek: - Proszę pani, kawa jeszcze jest?","Z korytarza wszedł parobek Wicek: - Proszę pani, kawa jeszcze jest?"
541,"Do gabinetu restauracyjnego wpadło kilkanaście osób - spieszyło im się bardzo, żądali natychmiastowej obsługi.","Do gabinetu restauracyjnego wpadło kilkanaście osób - spieszyło im się bardzo, żądali natychmiastowej obsługi."
547,"""Zbój Madej"" też coś wiedział.","""Zbój Madej"" też coś wiedział."
550,"Kierownik Stec wrócił z restauracji od Fornalskiego, sprawdził kasę, czy jest skręcona, schował kwity i zamknął szufladę.","Kierownik Stec wrócił z restauracji od Fornalskiego, sprawdził kasę, czy jest skręcona, schował kwity i zamknął szufladę."
558,Książka i legitymacja leżą na stole pod lustrem.,Książka i legitymacja leżą na stole pod lustrem.
571,"Na korytarzu ozwały się czyjeś kroki - Henek podniósł wskazujący palec do góry: - Ty, ja cię proszę, Adamowi nie mów nic, ona prosiła... i w ogóle nikomu...","Na korytarzu ozwały się czyjeś kroki - Henek podniósł wskazujący palec do góry: - Ty, ja cię proszę, Adamowi nie mów nic, ona prosiła... i w ogóle nikomu..."
577,"""Śmieszny jest ten baron i podobny do kogoś... aha, do parobka Wicka.","""Śmieszny jest ten baron i podobny do kogoś... aha, do parobka Wicka."
621,"Dzieciaki tymczasem wyciągały włosy z końskiego ogona, chłopcy krzyczeli: ""Huź-ha!"" a wśród nich ruda, ognista głowa Borucha wyglądała jak marchewka wyrzucona przez kogoś na śmietnisko.","Dzieciaki tymczasem wyciągały włosy z końskiego ogona, chłopcy krzyczeli: ""Huź-ha!"" a wśród nich ruda, ognista głowa Borucha wyglądała jak marchewka wyrzucona przez kogoś na śmietnisko."
624,"Krawiec Abraham Gold rozpalił ogień pod blachą, obrał ziemniaki i umył rondel.","Krawiec Abraham Gold rozpalił ogień pod blachą, obrał ziemniaki i umył rondel."
628,"Wiatr huczał, nie było czym oddychać.","Wiatr huczał, nie było czym oddychać."
633,"- Chodź na kolację - powiedziała żona, jak mu się wydawało, niespokojnie.","- Chodź na kolację - powiedziała żona, jak mu się wydawało, niespokojnie."
640,Chirurg milczał.,Chirurg milczał.
644,"Chirurg pochylił czarną, kudłatą głowę: - O!...","Chirurg pochylił czarną, kudłatą głowę: - O!..."
655,"Na ogół kobiece łzy nigdy nie odbierały chirurgowi siły, przeciwnie, wzbudzały w nim chęć do jakiegoś protestu: było to nieodpartym dowodem dobroci i miękkości jego charakteru .","Na ogół kobiece łzy nigdy nie odbierały chirurgowi siły, przeciwnie, wzbudzały w nim chęć do jakiegoś protestu: było to nieodpartym dowodem dobroci i miękkości jego charakteru ."
657,"Chirurg Tamten zamknął za sobą drzwi i po raz ostatni spojrzał przez szybę na żółty, drżący jak w febrze księżyc .","Chirurg Tamten zamknął za sobą drzwi i po raz ostatni spojrzał przez szybę na żółty, drżący jak w febrze księżyc ."
658,Asystent już podawał chirurgowi fartuch.,Asystent już podawał chirurgowi fartuch.
659,Dyrektor Tamten pogwizdywał wesołą murzyńską piosenkę.,Dyrektor Tamten pogwizdywał wesołą murzyńską piosenkę.
661,Siostra szorowała i myła ręce.,Siostra szorowała i myła ręce.
662,"Na ten sam żółty księżyc, zjawiający się i znikający bez ustanku, patrzył ze swego podwórka nieszczęśliwy krawiec, Abraham Gold.","Na ten sam żółty księżyc, zjawiający się i znikający bez ustanku, patrzył ze swego podwórka nieszczęśliwy krawiec, Abraham Gold."
670,Klakson wył.,Klakson wył.
671,Czarna limuzyna mknęła z szybkością 110 km.,Czarna limuzyna mknęła z szybkością 110 km.
