conllu_index,correct,incorrect
7312,On tylko dopisał do tej rzeczywistości gigantyczną fobię.,On tylko dopisała do tej rzeczywistości gigantyczną fobię.
7313,On tylko obwieszczał!,On tylko obwieszczała!
7327,Ona nam wszystko popsuła!,Ona nam wszystko popsuł!
7327,Ona nam wszystko popsuła!,Ona nam wszystko popsuł!
7332,Ona poprzez lasy przerąbała pierwszą drogę dla cichego apostolstwa synów bożych.,Ona poprzez lasy przerąbał pierwszą drogę dla cichego apostolstwa synów bożych.
7332,Ona poprzez lasy przerąbała pierwszą drogę dla cichego apostolstwa synów bożych.,Ona poprzez lasy przerąbał pierwszą drogę dla cichego apostolstwa synów bożych.
7334,Ona unikała jego spojrzenia.,Ona unikał jego spojrzenia.
7334,Ona unikała jego spojrzenia.,Ona unikał jego spojrzenia.
7337,Ona występowała w dyskotekach.,Ona występował w dyskotekach.
7337,Ona występowała w dyskotekach.,Ona występował w dyskotekach.
8674,"Profesorze, ja nie myślałam o jego życiu.","Profesorze, ja nie myślałm o jego życiu."
8674,"Profesorze, ja nie myślałam o jego życiu.","Profesorze, ja nie myślałm o jego życiu."
8759,"Przechodził on długą ewolucję, stając się najpopularniejszym tanim zegarkiem.","Przechodziła on długą ewolucję, stając się najpopularniejszym tanim zegarkiem."
8909,Przeszła ona jego najśmielsze oczekiwania.,Przeszedł ona jego najśmielsze oczekiwania.
8909,Przeszła ona jego najśmielsze oczekiwania.,Przeszedł ona jego najśmielsze oczekiwania.
10482,Teraz ona pomilczała przez chwilę.,Teraz ona pomilczał przez chwilę.
10482,Teraz ona pomilczała przez chwilę.,Teraz ona pomilczał przez chwilę.
10997,ty miałaś stara.,ty miałś stara.
10997,ty miałaś stara.,ty miałś stara.
11006,ty próbowałaś to mleko dla dzieci?,ty próbowałś to mleko dla dzieci?
11006,ty próbowałaś to mleko dla dzieci?,ty próbowałś to mleko dla dzieci?
11196,Umożliwiał on odbiór słuchowy.,Umożliwiała on odbiór słuchowy.
12412,Wtedy do salki weszła ona.,Wtedy do salki wszedł ona.
12412,Wtedy do salki weszła ona.,Wtedy do salki wszedł ona.
12655,Wywołał on wielkie zainteresowanie.,Wywołała on wielkie zainteresowanie.
13026,"Zamiast złota, klejnotów i posiadłości składał się on z 200 rycerzy!","Zamiast złota, klejnotów i posiadłości składała się on z 200 rycerzy!"
13282,"Zdaniem senator Grześkowiak, naruszała ona zasadę zaufania obywateli do państwa.","Zdaniem senator Grześkowiak, naruszał ona zasadę zaufania obywateli do państwa."
13282,"Zdaniem senator Grześkowiak, naruszała ona zasadę zaufania obywateli do państwa.","Zdaniem senator Grześkowiak, naruszał ona zasadę zaufania obywateli do państwa."
15411,Ona poprzez lasy przerąbała pierwszą drogę dla cichego apostolstwa synów bożych.,Ona poprzez lasy przerąbał pierwszą drogę dla cichego apostolstwa synów bożych.
15411,Ona poprzez lasy przerąbała pierwszą drogę dla cichego apostolstwa synów bożych.,Ona poprzez lasy przerąbał pierwszą drogę dla cichego apostolstwa synów bożych.
16845,Ale ona tylko skinęła na okrwawionego fenomulata.,Ale ona tylko skinął na okrwawionego fenomulata.
16845,Ale ona tylko skinęła na okrwawionego fenomulata.,Ale ona tylko skinął na okrwawionego fenomulata.
17031,– Ja umarłam wcześniej niż moja obietnica.,– Ja umarł m wcześniej niż moja obietnica.
17031,– Ja umarłam wcześniej niż moja obietnica.,– Ja umarł m wcześniej niż moja obietnica.
17345,Ja bym chciała obejrzeć.,Ja by m chciał obejrzeć.
17345,Ja bym chciała obejrzeć.,Ja by m chciał obejrzeć.
18706,"Ona płakała, a za chwilę płakałyśmy już obie.","Ona płakał, a za chwilę płakały śmy już obie."
18706,"Ona płakała, a za chwilę płakałyśmy już obie.","Ona płakał, a za chwilę płakały śmy już obie."
18707,"Teraz ona udusiła inne dziecko - Madzię, którą najprawdopodobniej porwała spod szkoły.","Teraz ona udusił inne dziecko - Madzię, którą najprawdopodobniej porwała spod szkoły."
18707,"Teraz ona udusiła inne dziecko - Madzię, którą najprawdopodobniej porwała spod szkoły.","Teraz ona udusił inne dziecko - Madzię, którą najprawdopodobniej porwała spod szkoły."
18972,Bo i ona nas wszystkich właśnie tak usidliła.,Bo i ona nas wszystkich właśnie tak usidlił.
18972,Bo i ona nas wszystkich właśnie tak usidliła.,Bo i ona nas wszystkich właśnie tak usidlił.
21057,Powiedziała ona takie zdanie: Po tym ostatnim kryzysie jedyną szansą na prawicową koalicję w Polsce jest głęboki podział w Prawie i Sprawiedliwości.,Powiedział ona takie zdanie: Po tym ostatnim kryzysie jedyną szansą na prawicową koalicję w Polsce jest głęboki podział w Prawie i Sprawiedliwości.
21057,Powiedziała ona takie zdanie: Po tym ostatnim kryzysie jedyną szansą na prawicową koalicję w Polsce jest głęboki podział w Prawie i Sprawiedliwości.,Powiedział ona takie zdanie: Po tym ostatnim kryzysie jedyną szansą na prawicową koalicję w Polsce jest głęboki podział w Prawie i Sprawiedliwości.
21219,"Ja też to zrobiłam, kiedy miałam je w ręku po raz pierwszy.","Ja też to zrobił m , kiedy miała m je w ręku po raz pierwszy."
21219,"Ja też to zrobiłam, kiedy miałam je w ręku po raz pierwszy.","Ja też to zrobił m , kiedy miała m je w ręku po raz pierwszy."
23187,"Przyjmował on i sprawdzał relacje szpiegów i donosicieli, zajmował się też badaniem - tymi właśnie metodami - opinii publicznej.","Przyjmowała on i sprawdzał relacje szpiegów i donosicieli, zajmował się też badaniem - tymi właśnie metodami - opinii publicznej."
23453,"Gdyby udało się skompletować księgę obdarowanych, zawierałaby ona listę nazwisk tworzących znaczną część żelaznego elektoratu SLD.","Gdyby udało się skompletować księgę obdarowanych, zawierał by ona listę nazwisk tworzących znaczną część żelaznego elektoratu SLD."
23453,"Gdyby udało się skompletować księgę obdarowanych, zawierałaby ona listę nazwisk tworzących znaczną część żelaznego elektoratu SLD.","Gdyby udało się skompletować księgę obdarowanych, zawierał by ona listę nazwisk tworzących znaczną część żelaznego elektoratu SLD."
23812,- Ona szła zgięta wpół.,- Ona szedł zgięta wpół.
23812,- Ona szła zgięta wpół.,- Ona szedł zgięta wpół.
24758,Nawet w czasach hitlerowskiego szaleństwa starał się on wypełniać statutowe zadania.,Nawet w czasach hitlerowskiego szaleństwa starała się on wypełniać statutowe zadania.
26413,Ja osobiście nigdy bym dziecka nie usunęła.,Ja osobiście nigdy by m dziecka nie usunął.
26413,Ja osobiście nigdy bym dziecka nie usunęła.,Ja osobiście nigdy by m dziecka nie usunął.
26524,"Ja sobie z przyjemnością obejrzałam wczoraj ""Live and Let Die"".","Ja sobie z przyjemnością obejrzał m wczoraj ""Live and Let Die""."
26524,"Ja sobie z przyjemnością obejrzałam wczoraj ""Live and Let Die"".","Ja sobie z przyjemnością obejrzał m wczoraj ""Live and Let Die""."
26935,"Kto jak kto, ale ona dobrze wiedziała, że to nie korporacja będzie czkać od niestrawności, tylko ja.","Kto jak kto, ale ona dobrze wiedział, że to nie korporacja będzie czkać od niestrawności, tylko ja."
26935,"Kto jak kto, ale ona dobrze wiedziała, że to nie korporacja będzie czkać od niestrawności, tylko ja.","Kto jak kto, ale ona dobrze wiedział, że to nie korporacja będzie czkać od niestrawności, tylko ja."
27370,"To ona zdecydowała za bohaterów o tym, gdzie rzuci ich los i jak wyglądać będzie ich dalsze życie.","To ona zdecydował za bohaterów o tym, gdzie rzuci ich los i jak wyglądać będzie ich dalsze życie."
27370,"To ona zdecydowała za bohaterów o tym, gdzie rzuci ich los i jak wyglądać będzie ich dalsze życie.","To ona zdecydował za bohaterów o tym, gdzie rzuci ich los i jak wyglądać będzie ich dalsze życie."
28507,Będzie ona stanowiła przydatny etap pośredni dla działań na rzecz nieproliferacji prowadzonych przez Unię i społeczność międzynarodową.,Będzie ona stanowił przydatny etap pośredni dla działań na rzecz nieproliferacji prowadzonych przez Unię i społeczność międzynarodową.
28507,Będzie ona stanowiła przydatny etap pośredni dla działań na rzecz nieproliferacji prowadzonych przez Unię i społeczność międzynarodową.,Będzie ona stanowił przydatny etap pośredni dla działań na rzecz nieproliferacji prowadzonych przez Unię i społeczność międzynarodową.
30071,Ale ja tak czekałam na to.,Ale ja tak czekał m na to.
30071,Ale ja tak czekałam na to.,Ale ja tak czekał m na to.
30295,"Nie uwzględniła ona także należycie mikroprzedsiębiorstw i MŚP - ponieważ nieuchronnie zwiększyła koszt rejestrowania substancji, nie zapewniając odpowiedniego wsparcia - a nawet dużych przedsiębiorstw, które wyrażały chęć zastąpienia niebezpiecznych substancji chemicznych.","Nie uwzględnił ona także należycie mikroprzedsiębiorstw i MŚP - ponieważ nieuchronnie zwiększyła koszt rejestrowania substancji, nie zapewniając odpowiedniego wsparcia - a nawet dużych przedsiębiorstw, które wyrażały chęć zastąpienia niebezpiecznych substancji chemicznych."
30295,"Nie uwzględniła ona także należycie mikroprzedsiębiorstw i MŚP - ponieważ nieuchronnie zwiększyła koszt rejestrowania substancji, nie zapewniając odpowiedniego wsparcia - a nawet dużych przedsiębiorstw, które wyrażały chęć zastąpienia niebezpiecznych substancji chemicznych.","Nie uwzględnił ona także należycie mikroprzedsiębiorstw i MŚP - ponieważ nieuchronnie zwiększyła koszt rejestrowania substancji, nie zapewniając odpowiedniego wsparcia - a nawet dużych przedsiębiorstw, które wyrażały chęć zastąpienia niebezpiecznych substancji chemicznych."
30387,"- a ja wciąż wierzyłam, że tego nie zrobiłeś.","- a ja wciąż wierzył m , że tego nie zrobił eś ."
30387,"- a ja wciąż wierzyłam, że tego nie zrobiłeś.","- a ja wciąż wierzył m , że tego nie zrobił eś ."
30551,"Ja bym nigdy nie umówiła się z kimś, kto tak mówi.","Ja by m nigdy nie umówił się z kimś, kto tak mówi."
30551,"Ja bym nigdy nie umówiła się z kimś, kto tak mówi.","Ja by m nigdy nie umówił się z kimś, kto tak mówi."
30783,"Ale i ona uklękła, i za chwilę wszyscy wcisnęli się na czworakach w ciemną dziurę.","Ale i ona ukląkł, i za chwilę wszyscy wcisnęli się na czworakach w ciemną dziurę."
30783,"Ale i ona uklękła, i za chwilę wszyscy wcisnęli się na czworakach w ciemną dziurę.","Ale i ona ukląkł, i za chwilę wszyscy wcisnęli się na czworakach w ciemną dziurę."
30819,"Jak ja się tu, do cholery, dostałam?","Jak ja się tu, do cholery, dostał m ?"
30819,"Jak ja się tu, do cholery, dostałam?","Jak ja się tu, do cholery, dostał m ?"
30990,"Ale to ona chciała się z nim spotykać, Panie.","Ale to ona chciał się z nim spotykać, Panie."
30990,"Ale to ona chciała się z nim spotykać, Panie.","Ale to ona chciał się z nim spotykać, Panie."
31194,Będzie on przebiegał we współpracy z firmami świadczącymi usługi transportu publicznego.,Będzie on przebiegała we współpracy z firmami świadczącymi usługi transportu publicznego.
