correct,incorrect
"Po chwili wyszła na słoneczne podwórze klacz srokata, stąpając z rozwagą i ostrożnością.","Po chwili wyszedł na słoneczne podwórze klacz srokata, stąpając z rozwagą i ostrożnością."
"Pociągnęła Panterę do studni, napiła się do syta, a potem nie kierowana poszła ku wozowi.","Pociągnęła Panterę do studni, napił się do syta, a potem nie kierowana poszła ku wozowi."
"Spróbowała smaku siana, poszukała na dnie worka z obrokiem, parsknęła, ziewnęła, przeciągnęła się i z rezygnacją podała głowę do chomąta.","Spróbował smaku siana, poszukała na dnie worka z obrokiem, parsknęła, ziewnęła, przeciągnęła się i z rezygnacją podała głowę do chomąta."
"Mignęła mu jakaś głowa, wyrastająca nad chaszcze, i tyle.","Mignął mu jakaś głowa, wyrastająca nad chaszcze, i tyle."
Zadymka ustała.,Zadymka ustał.
"Na to uprzytomnienie dusza pana Sapiehy wyszła z ciała i jęła prosić Boga o rychłą śmierć, by prędzej tego szczęścia dostąpić...","Na to uprzytomnienie dusza pana Sapiehy wyszedł z ciała i jęła prosić Boga o rychłą śmierć, by prędzej tego szczęścia dostąpić..."
"Zadowolona, że może zwrócić uwagę narzeczonego na inny temat, Anusia zaczęła wyliczać te dary.","Zadowolona, że może zwrócić uwagę narzeczonego na inny temat, Anusia zaczął wyliczać te dary."
"Raz zrzuciła ciężką doniczkę z kaktusem, całe szczęście, że nie na nogę, innym razem o mało nie ściągnęła sobie na głowę razem z gzymsem firanek, które chciała koniecznie zdjąć do prania, choć je właśnie tylko co po praniu zawieszono.","Raz zrzucił ciężką doniczkę z kaktusem, całe szczęście, że nie na nogę, innym razem o mało nie ściągnęła sobie na głowę razem z gzymsem firanek, które chciała koniecznie zdjąć do prania, choć je właśnie tylko co po praniu zawieszono."
"Urodziła się w miasteczku, w którym Adam Ostrzeński po wielu odmianach losu objął stanowisko burmistrza.","Urodził się w miasteczku, w którym Adam Ostrzeński po wielu odmianach losu objął stanowisko burmistrza."
"- Oho, dobry staruszku, Grzywa Centaura przesunęła się na ulicę Szarlatanów - i Osiełek, skłoniwszy się naiwnemu panu, uciekł wymachując laską.","- Oho, dobry staruszku, Grzywa Centaura przesunął się na ulicę Szarlatanów - i Osiełek, skłoniwszy się naiwnemu panu, uciekł wymachując laską."
"Grodzicka weszła w jej skład sierotą, straciwszy matkę w parę miesięcy po ślubie, a jedyna siostra jeszcze dawniej wywędrowała z mężem do Ameryki, do tego dziwnego i podejrzanego kraju, w którym defraudanci szukali opieki.","Grodzicka wszedł w jej skład sierotą, straciwszy matkę w parę miesięcy po ślubie, a jedyna siostra jeszcze dawniej wywędrowała z mężem do Ameryki, do tego dziwnego i podejrzanego kraju, w którym defraudanci szukali opieki."
Lampa przygasła.,Lampa przygasł.
Gdzieś na dole trzasnęła brama.,Gdzieś na dole trzasnął brama.
"Przypomniała mu się taka sama zbałwaniona rzeka ludzi, cisnących się w Halach po miskę cebulowej zupy.","Przypomniał mu się taka sama zbałwaniona rzeka ludzi, cisnących się w Halach po miskę cebulowej zupy."
"Myśl o ojcu zjawiła się groźnie i szarpnęła do głębi - ...Ach, cóż by ojciec na to, że Feluś spiskuje, że Feluś przysięgał nienawiść Mikołajowi... że Feluś może jutro wyjdzie na ulice warszawskie z żelazem w dłoni!...","Myśl o ojcu zjawił się groźnie i szarpnęła do głębi - ...Ach, cóż by ojciec na to, że Feluś spiskuje, że Feluś przysięgał nienawiść Mikołajowi... że Feluś może jutro wyjdzie na ulice warszawskie z żelazem w dłoni!..."
"Kancelaria dworska zmieniła się na biuro komisarskie, chętliwie użyczona na ten cel przez pana Czartkowskiego.","Kancelaria dworska zmienił się na biuro komisarskie, chętliwie użyczona na ten cel przez pana Czartkowskiego."
Z pokoju wyszła Paulina.,Z pokoju wyszedł Paulina.
Poprawiając sobie włosy rozejrzała się po korytarzu i majestatycznym krokiem oddaliła się do swojego mieszkania .,Poprawiając sobie włosy rozejrzał się po korytarzu i majestatycznym krokiem oddaliła się do swojego mieszkania .
"Stanęła w progu, ręce oparła na biodrach.","Stanął w progu, ręce oparła na biodrach."
"""Zostawiłam płaszcz przy piecu, żeby wysechł, i cały przód się przyżelił.","""Zostawił m płaszcz przy piecu, żeby wysechł, i cały przód się przyżelił."
"- Chodź na kolację - powiedziała żona, jak mu się wydawało, niespokojnie.","- Chodź na kolację - powiedział żona, jak mu się wydawało, niespokojnie."
Tego wieczoru postanowiłam naumyślnie zbagatelizować wszystko.,Tego wieczoru postanowił m naumyślnie zbagatelizować wszystko.
"""Pewnie mu się przyśniła Francja...","""Pewnie mu się przyśnił Francja..."
"Po drugiej stronie zamajaczyła łódka, powoli w księżycu płynąca, cicha jak Charonowy prom, ci bowiem, co w niej płynęli, milczeli, oczarowani zapewne czarodziejstwem ślicznej nocy .","Po drugiej stronie zamajaczył łódka, powoli w księżycu płynąca, cicha jak Charonowy prom, ci bowiem, co w niej płynęli, milczeli, oczarowani zapewne czarodziejstwem ślicznej nocy ."
Nie wytropiła nigdzie wroga na oko.,Nie wytropił nigdzie wroga na oko.
Sława śmieszną się stała dla serca.,Sława śmieszną się stał dla serca.
Ona poprzez lasy przerąbała pierwszą drogę dla cichego apostolstwa synów bożych.,Ona poprzez lasy przerąbał pierwszą drogę dla cichego apostolstwa synów bożych.
"Lecz wnet radość powszechna w straszne przemieniła się czucie, gdy wśród wielkich łososi, skaczących w górę po piasku, ujrzeli nieruchomego Litaka.","Lecz wnet radość powszechna w straszne przemienił się czucie, gdy wśród wielkich łososi, skaczących w górę po piasku, ujrzeli nieruchomego Litaka."
"Taka wersja zadowoliłaby tych wszystkich, którym miłość i śmierć wydają się najlepszym rozwiązaniem zarówno romansu, jak i tragedii.","Taka wersja zadowolił by tych wszystkich, którym miłość i śmierć wydają się najlepszym rozwiązaniem zarówno romansu, jak i tragedii."
"Ludzkość straciła bowiem talent do płaczu, a następstwem owego procesu stał się zanik wrażliwości.","Ludzkość stracił bowiem talent do płaczu, a następstwem owego procesu stał się zanik wrażliwości."
"Tradycja nie wygasła - przepisywano potem Dziady, na scenie wystawione dopiero przez Wyspiańskiego!","Tradycja nie wygasł - przepisywano potem Dziady, na scenie wystawione dopiero przez Wyspiańskiego!"
"Branka izraelska zlitowała się nad swoim panem i wyjawiła mu, że w Samarii mieszka wielki prorok, który może go uleczyć.","Branka izraelska zlitował się nad swoim panem i wyjawiła mu, że w Samarii mieszka wielki prorok, który może go uleczyć."
"Dokładnie w sześć tygodni po opuszczeniu granic Egiptu kolumna stanęła obozem w pustyni Sin, między Elim a Synajem.","Dokładnie w sześć tygodni po opuszczeniu granic Egiptu kolumna stanął obozem w pustyni Sin, między Elim a Synajem."
"Starszyzna plemienna, odarta z wszelkich złudzeń, odmówiła uznania króla i pospiesznie opuściła Szechem.","Starszyzna plemienna, odarta z wszelkich złudzeń, odmówił uznania króla i pospiesznie opuściła Szechem."
"Przerażająca wiadomość wstrząsnęła Saulem do tego stopnia, że nieprzytomny zwalił się z nóg na ziemię.","Przerażająca wiadomość wstrząsnął Saulem do tego stopnia, że nieprzytomny zwalił się z nóg na ziemię."
"Cywilizacja ta, początkowo ograniczona do małego zachodnioeuropejskiego półwyspu, wypracowała swoją filozofię i naukę poddając przeróbce pojęcia teologii chrześcijańskiej.","Cywilizacja ta, początkowo ograniczona do małego zachodnioeuropejskiego półwyspu, wypracował swoją filozofię i naukę poddając przeróbce pojęcia teologii chrześcijańskiej."
"Od osiemnastego wieku poczynając, zwróciła się otwarcie przeciwko swoim chrześcijańskim źródłom.","Od osiemnastego wieku poczynając, zwrócił się otwarcie przeciwko swoim chrześcijańskim źródłom."
"Anna Kowalska rozpoczęła pisać swój dziennik w roku 1927 i prowadziła go do końca życia, do roku 1969.","Anna Kowalska rozpoczął pisać swój dziennik w roku 1927 i prowadziła go do końca życia, do roku 1969."
"Świeżą jeszcze mogiłę pośpieszyła obrzucić błotem tamtejsza gadzinówka ""Gazeta Lwowska"".","Świeżą jeszcze mogiłę pośpieszył obrzucić błotem tamtejsza gadzinówka ""Gazeta Lwowska""."
"- Między monodramami wyreżyserowałaś ""Na szkle malowane"".","- Między monodramami wyreżyserował ś ""Na szkle malowane""."
Załamała się tradycja zbiorowych wystąpień i manifestacji.,Załamał się tradycja zbiorowych wystąpień i manifestacji.
"Akcja zbiorowa — podjęta w bezwzględnie słusznej sprawie — choć pociągnęłaby za sobą pewne ofiary (aresztowania, utratę posady), przywróciłaby społeczeństwu wiarę we własne siły.","Akcja zbiorowa — podjęta w bezwzględnie słusznej sprawie — choć pociągnęła by za sobą pewne ofiary (aresztowania, utratę posady), przywrócił by społeczeństwu wiarę we własne siły."
Pozostała mu jedynie praca naukowa w Princeton.,Pozostał mu jedynie praca naukowa w Princeton.
"W roku 1954 Komisja do Badania Działalności Antyamerykańskiej uznała go za ""osobiście lojalnego obywatela"", zalecając równocześnie odsunięcie go od wszelkich tajemnic publicznych z powodu ""podstawowych defektów charakteru"".","W roku 1954 Komisja do Badania Działalności Antyamerykańskiej uznał go za ""osobiście lojalnego obywatela"", zalecając równocześnie odsunięcie go od wszelkich tajemnic publicznych z powodu ""podstawowych defektów charakteru""."
Po krótkich bojach prawnych do tamtejszych sklepów trafiła ocenzurowana wersja okładki - bez swastyk.,Po krótkich bojach prawnych do tamtejszych sklepów trafił ocenzurowana wersja okładki - bez swastyk.
"Kilka lat temu europejska wytwórnia Euro Ralph zdecydowała się opublikować reedycję albumu z nową, jeszcze inną okładką, zaakceptowaną przez Pore No Graphics.","Kilka lat temu europejska wytwórnia Euro Ralph zdecydował się opublikować reedycję albumu z nową, jeszcze inną okładką, zaakceptowaną przez Pore No Graphics."
Płyta Buena Vista Social Club zdobyła też nagrodę Grammy.,Płyta Buena Vista Social Club zdobył też nagrodę Grammy.
Ta opowieść nie zrodziła się bez przyczyny.,Ta opowieść nie zrodził się bez przyczyny.
- Japońska firma Seiko wprowadziła na rynek pierwszy kwarcowy zegarek na rękę.,- Japońska firma Seiko wprowadził na rynek pierwszy kwarcowy zegarek na rękę.
Polska demokracja jako jedyna w Europie zyskała tym samym sankcję metafizyczną – zarazem boską i kobiecą.,Polska demokracja jako jedyna w Europie zyskał tym samym sankcję metafizyczną – zarazem boską i kobiecą.
"W połowie maja 2002 roku rosyjska prokuratura generalna oświadczyła, że w filmie dokumentalnym Pokuszenije na Rossiju nie znalazła podstaw do wszczęcia śledztwa w jakiejkolwiek sprawie.","W połowie maja 2002 roku rosyjska prokuratura generalna oświadczył, że w filmie dokumentalnym Pokuszenije na Rossiju nie znalazła podstaw do wszczęcia śledztwa w jakiejkolwiek sprawie."
"Pani sędzia wymusiła na niej odstąpienie od pozwu, grożąc natychmiastowym wezwaniem pogotowia i przewiezieniem do szpitala psychiatrycznego.","Pani sędzia wymusił na niej odstąpienie od pozwu, grożąc natychmiastowym wezwaniem pogotowia i przewiezieniem do szpitala psychiatrycznego."
"Szpiegomania, niemal zanikająca za późnego Gorbaczowa, pojawiła się na krótko w początkowym okresie „demokracji"" Jelcyna.","Szpiegomania, niemal zanikająca za późnego Gorbaczowa, pojawił się na krótko w początkowym okresie „demokracji"" Jelcyna."
Sprawa rozsypała się po paru miesiącach.,Sprawa rozsypał się po paru miesiącach.
"Ale w to, że nie będzie zaczystek, że już nigdy nie stanie jej serce o trzeciej nad ranem - uwierzyła.","Ale w to, że nie będzie zaczystek, że już nigdy nie stanie jej serce o trzeciej nad ranem - uwierzył."
Ta wizja macierzyństwa spotkała się z polemiką ze strony działaczki pacyfistycznej i feministycznej Madeleine Vernet (1878-1949).,Ta wizja macierzyństwa spotkał się z polemiką ze strony działaczki pacyfistycznej i feministycznej Madeleine Vernet (1878-1949).
I tak zaprezentowałam się Wajdzie.,I tak zaprezentował m się Wajdzie.
Przygotowałam się do tego bardzo solidnie.,Przygotował m się do tego bardzo solidnie.
Ostatnio wygrałam wielki puchar w Paradzie Gwiazd.,Ostatnio wygrał m wielki puchar w Paradzie Gwiazd.
"Swój czas, talent i wykształcenie poświęciła mężowi, dzieciom i wyszywaniu makatek.","Swój czas, talent i wykształcenie poświęcił mężowi, dzieciom i wyszywaniu makatek."
Bardzo się wzruszyłam.,Bardzo się wzruszył m .
Przytyłam do filmu 10 kilogramów.,Przytył m do filmu 10 kilogramów.
Postawiłabym na liczbę 2.,Postawił by m na liczbę 2.
W jaki sposób tak szybko stałaś się tak popularna?,W jaki sposób tak szybko stał ś się tak popularna?
"Aktorska para, w życiu prywatnym tak bardzo szczęśliwa, ciężko przeżyła brutalną scenę zerwania swoich bohaterów - Annette i Sebastiana.","Aktorska para, w życiu prywatnym tak bardzo szczęśliwa, ciężko przeżył brutalną scenę zerwania swoich bohaterów - Annette i Sebastiana."
Niemal od razu pojawiła się przed kamerami.,Niemal od razu pojawił się przed kamerami.
"Po udanej serii romansów firma Warner wypuściła równie udaną składankę filmów akcji, choć trzeba przyznać, że wybór chwilami jest drugoligowy.","Po udanej serii romansów firma Warner wypuścił równie udaną składankę filmów akcji, choć trzeba przyznać, że wybór chwilami jest drugoligowy."
"Albo właśnie pokłóciła się ostro z matką (najlepszą przyjaciółką, szefową itp.).","Albo właśnie pokłócił się ostro z matką (najlepszą przyjaciółką, szefową itp.)."
"Poznając go zyskałam oddanego przyjaciela, w którym zawsze mam oparcie.","Poznając go zyskał m oddanego przyjaciela, w którym zawsze mam oparcie."
Na szczęście nigdy nie spotkałam się z tym problemem.,Na szczęście nigdy nie spotkał m się z tym problemem.
Sama wymyśliłam przepis na moje najukochańsze ciasto.,Sama wymyślił m przepis na moje najukochańsze ciasto.
Ruszyła tegoroczna kampania wyborcza do parlamentu.,Ruszył tegoroczna kampania wyborcza do parlamentu.
Upadająca Polska Zjednoczona Partia Robotnicza skorzystała z nielegalnej pomocy finansowej Komunistycznej Partii Związku Radzieckiego.,Upadająca Polska Zjednoczona Partia Robotnicza skorzystał z nielegalnej pomocy finansowej Komunistycznej Partii Związku Radzieckiego.
Sama sobie pani już odpowiedziała - jest ta karta.,Sama sobie pani już odpowiedział - jest ta karta.
"- Skutecznym ramieniem Unii Wolności w walce z ROP-em okazała się redakcja ""Gazety Polskiej"".","- Skutecznym ramieniem Unii Wolności w walce z ROP-em okazał się redakcja ""Gazety Polskiej""."
"Informacja, że dane o funkcjonariuszach znajdują się w internecie wzbudziła natomiast duże zainteresowanie w katowickiej Komendzie Wojewódzkiej.","Informacja, że dane o funkcjonariuszach znajdują się w internecie wzbudził natomiast duże zainteresowanie w katowickiej Komendzie Wojewódzkiej."
"Decyzją Zjazdu PZPR, która zakończyła swoją działalność (...) Socjaldemokracja Rzeczypospolitej Polskiej przejęła całość zobowiązań i praw byłej PZPR w tej dziedzinie.","Decyzją Zjazdu PZPR, która zakończyła swoją działalność (...) Socjaldemokracja Rzeczypospolitej Polskiej przejął całość zobowiązań i praw byłej PZPR w tej dziedzinie."
A to SLD wygrała wybory w województwie.,A to SLD wygrał wybory w województwie.
- Możliwość odejścia Leszka Balcerowicza bardzo zaniepokoiła inwestorów.,- Możliwość odejścia Leszka Balcerowicza bardzo zaniepokoił inwestorów.
"Pretekstem do uruchomienia niektórych multipleksów stała się premiera ""Gwiezdnych wojen"".","Pretekstem do uruchomienia niektórych multipleksów stał się premiera ""Gwiezdnych wojen""."
"Gdy pogląd ten udało się przezwyciężyć, pojawiła się inna trudność - zarówno oficerowie UOP, jak i CIA uznali akcję za niemożliwą do przeprowadzenia z Warszawy.","Gdy pogląd ten udało się przezwyciężyć, pojawił się inna trudność - zarówno oficerowie UOP, jak i CIA uznali akcję za niemożliwą do przeprowadzenia z Warszawy."
"Wprawdzie prywatyzacja tych ostatnich rozpoczęła się pięć lat temu, ale do dziś jedynie osiem przedsiębiorstw znalazło strategicznego partnera.","Wprawdzie prywatyzacja tych ostatnich rozpoczął się pięć lat temu, ale do dziś jedynie osiem przedsiębiorstw znalazło strategicznego partnera."
"Zajęła 7. miejsce wśród 13 pretendentów, uzyskując 2,76 proc. głosów.","Zajął 7. miejsce wśród 13 pretendentów, uzyskując 2,76 proc. głosów."
Firma wybrała inną drogę rozwoju niż konkurenci.,Firma wybrał inną drogę rozwoju niż konkurenci.
"Kobieta Europy '93 i Kobieta Roku '94, szefowa Polskiej Akcji Humanitarnej po raz pierwszy zetknęła się z pomocą charytatywną we Francji.","Kobieta Europy '93 i Kobieta Roku '94, szefowa Polskiej Akcji Humanitarnej po raz pierwszy zetknął się z pomocą charytatywną we Francji."
"Stworzyła polski oddział EquiLibre, organizowała konwoje z pomocą dla byłej Jugosławii, Kazachstanu, Czeczenii.","Stworzył polski oddział EquiLibre, organizowała konwoje z pomocą dla byłej Jugosławii, Kazachstanu, Czeczenii."
"Według szacunków ONZ, liczba mieszkańców Indii - jako drugiego po Chinach państwa na świecie - przekroczyła niedawno miliard osób.","Według szacunków ONZ, liczba mieszkańców Indii - jako drugiego po Chinach państwa na świecie - przekroczył niedawno miliard osób."
NIK skontrolowała także 21 inwestycji służby zdrowia.,NIK skontrolował także 21 inwestycji służby zdrowia.
"Julia powiedziała sądowi, że ma na utrzymaniu matkę samotną staruszkę, która bez niej przepadnie, po czym głośno się rozpłakała.","Julia powiedział sądowi, że ma na utrzymaniu matkę samotną staruszkę, która bez niej przepadnie, po czym głośno się rozpłakała."
"- Do pana doktora młodszego - powiedziała słowa, które wypowiadała po tyle razy dziennie.","- Do pana doktora młodszego - powiedział słowa, które wypowiadała po tyle razy dziennie."
- Co to? - zapytała Mirta.,- Co to? - zapytał Mirta.
Po upadku hitlerowskich Niemiec na wschód od linii Berlin - Praga - Wiedeń powstała próżnia w którą wlały się armie rosyjskie.,Po upadku hitlerowskich Niemiec na wschód od linii Berlin - Praga - Wiedeń powstał próżnia w którą wlały się armie rosyjskie.
"Geschichte Polens (Historia Polski) Gottholda Rhode doczekała się trzeciego wydania (Wissenschaftliche Buchgesellschaft, Darmstadt 1980, str. 543).","Geschichte Polens (Historia Polski) Gottholda Rhode doczekał się trzeciego wydania (Wissenschaftliche Buchgesellschaft, Darmstadt 1980, str. 543)."
Obejrzała się.,Obejrzał się.
Podeszła do niego.,Podszedł do niego.
"- Niech pan siada, powiedziała Norma - to długo potrwa, nie może pan cały czas stać.","- Niech pan siada, powiedział Norma - to długo potrwa, nie może pan cały czas stać."
"W tym czasie Terenowa Komisja Odwoławcza w Pruszkowie (Krystyna Miłoszewska, Irena Godycka, Henryk Więcek) podała do wiadomości publicznej, że skargi z powodu zwolnienia z pracy muszą być rozpatrzone negatywnie.","W tym czasie Terenowa Komisja Odwoławcza w Pruszkowie (Krystyna Miłoszewska, Irena Godycka, Henryk Więcek) podał do wiadomości publicznej, że skargi z powodu zwolnienia z pracy muszą być rozpatrzone negatywnie."
Wreszcie zdarzyła się prawdziwa katastrofa.,Wreszcie zdarzył się prawdziwa katastrofa.
We wrześniowym numerze Kultury na str. 158 ukazała się notatka twierdząca jakoby nasza Rozgłośnia przemilczała śmierć śp. Juliusza Mieroszewskiego.,We wrześniowym numerze Kultury na str. 158 ukazał się notatka twierdząca jakoby nasza Rozgłośnia przemilczała śmierć śp. Juliusza Mieroszewskiego.
Prasa podwoiła liczbę tytułów.,Prasa podwoił liczbę tytułów.
"Ze zbiorowej pamięci walk ciemiężonych Flamandów z najeźdźcą narodziła się legenda o Sowizdrzale, której wspaniałą artystyczną wersję stworzył Charles de Coster.","Ze zbiorowej pamięci walk ciemiężonych Flamandów z najeźdźcą narodził się legenda o Sowizdrzale, której wspaniałą artystyczną wersję stworzył Charles de Coster."
Centrala handlowa P. and B. Supply Centre zbankrutowała obciążając Fundusz długiem 17.000.,Centrala handlowa P. and B. Supply Centre zbankrutował obciążając Fundusz długiem 17.000.
"Aby przekonać się o powiązaniach nerwicy natręctw z paciorkowcem, dr Swedo wymieniła osocze krwi chorych dzieci zawierające ""ogłupiałe"" przeciwciała na osocze pochodzące od zdrowych dawców.","Aby przekonać się o powiązaniach nerwicy natręctw z paciorkowcem, dr Swedo wymienił osocze krwi chorych dzieci zawierające ""ogłupiałe"" przeciwciała na osocze pochodzące od zdrowych dawców."
Mało znana pracownia architektoniczna z Finlandii wygrała konkurs na Muzeum Historii Żydów Polskich.,Mało znana pracownia architektoniczna z Finlandii wygrał konkurs na Muzeum Historii Żydów Polskich.
To dzięki nim powstała wielka średniowieczna filozofia scholastyczna.,To dzięki nim powstał wielka średniowieczna filozofia scholastyczna.
Niemal jednocześnie do tych samych wniosków doszła Unia Pracy.,Niemal jednocześnie do tych samych wniosków doszedł Unia Pracy.
"Wprawdzie podpisała wcześniej porozumienie z ""borówkami"" o wspólnym starcie w wyborach, ale po zestawieniu notowań Borowskiego (2 proc.) i Cimoszewicza (35 proc.) straciła ochotę na koalicję.","Wprawdzie podpisał wcześniej porozumienie z ""borówkami"" o wspólnym starcie w wyborach, ale po zestawieniu notowań Borowskiego (2 proc.) i Cimoszewicza (35 proc.) straciła ochotę na koalicję."
Zaczęła wręcz nawoływać do stworzenia wspólnej listy lewicy.,Zaczął wręcz nawoływać do stworzenia wspólnej listy lewicy.
Wielka katastrofa przestawiła ludzki umysł na wyższe obroty.,Wielka katastrofa przestawił ludzki umysł na wyższe obroty.
"Szef NBP Hanna Gronkiewicz-Waltz powiedziała ""Gazecie Wyborczej"", na pytanie, kiedy znów podwyższy stopę: ""Jeśli coś złego będzie się działo, to być może nawet w czerwcu.","Szef NBP Hanna Gronkiewicz-Waltz powiedział ""Gazecie Wyborczej"", na pytanie, kiedy znów podwyższy stopę: ""Jeśli coś złego będzie się działo, to być może nawet w czerwcu."
"Pani prezes podała, że po upłynnieniu złotówka zyskała prawie 5 proc. na wartości (na dzień 25 maja).","Pani prezes podał, że po upłynnieniu złotówka zyskała prawie 5 proc. na wartości (na dzień 25 maja)."
"W kolejkach ustawiła się część dawnej opozycji, która, jak Maria Zielińska, dla zasady odmawiała sobie wglądu do akt.","W kolejkach ustawił się część dawnej opozycji, która, jak Maria Zielińska, dla zasady odmawiała sobie wglądu do akt."
Armia Czerwona wkroczyła na Łotwę z kilku stron.,Armia Czerwona wkroczył na Łotwę z kilku stron.
"Radykalna metoda ministra Michuki nie wzbudziła jednak entuzjazmu kenijskich mediów i organizacji praw człowieka, które uznały ją za zachętę do egzekucji bez sądu.","Radykalna metoda ministra Michuki nie wzbudził jednak entuzjazmu kenijskich mediów i organizacji praw człowieka, które uznały ją za zachętę do egzekucji bez sądu."
Tylko wyszła z koła dwa razy.,Tylko wyszedł z koła dwa razy.
"- To biorę - ucieszyła się babina, wysupłała z zawiniątka odpowiednią sumę i oddaliła się z obrazem.","- To biorę - ucieszył się babina, wysupłała z zawiniątka odpowiednią sumę i oddaliła się z obrazem."
Nie mam na chleb - napisała na kartce babcia.,Nie mam na chleb - napisał na kartce babcia.
"- Czy świadomie wybrała pani rzeźbę, przecież to taki niekobiecy zawód?","- Czy świadomie wybrał pani rzeźbę, przecież to taki niekobiecy zawód?"
- Zdecydowałam się na rzeźbę będąc 17-letnią dziewczyną.,- Zdecydował m się na rzeźbę będąc 17-letnią dziewczyną.
"Publiczność przyjęła ją entuzjastycznie, ale krytycy nazwali królową kiczu.","Publiczność przyjął ją entuzjastycznie, ale krytycy nazwali królową kiczu."
Legenda Ismaela Khana narodziła się wśród płomieni i śmierci.,Legenda Ismaela Khana narodził się wśród płomieni i śmierci.
"W ciągu ostatnich pięciu lat liczba studiujących podwoiła się, niegdyś kameralne placówki akademickie napęczniały, zmieniła się też mentalność i oczekiwania studiujących.","W ciągu ostatnich pięciu lat liczba studiujących podwoił się, niegdyś kameralne placówki akademickie napęczniały, zmieniła się też mentalność i oczekiwania studiujących."
Ale pani poseł nie dopuściła do niewygodnej debaty na temat tych zarzutów.,Ale pani poseł nie dopuścił do niewygodnej debaty na temat tych zarzutów.
Immunitetu zrzekła się sama.,Immunitetu zrzekł się sama.
"Ostatnio straciła immunitet po raz drugi: na wniosek posła PSL Zbigniewa Komorowskiego, którego oskarżyła o oszustwa przy imporcie zboża.","Ostatnio stracił immunitet po raz drugi: na wniosek posła PSL Zbigniewa Komorowskiego, którego oskarżyła o oszustwa przy imporcie zboża."
"I poszła fama, że Antek to ubecki konfident.","I poszedł fama, że Antek to ubecki konfident."
Berlińczykom spodobała się ta otwartość.,Berlińczykom spodobał się ta otwartość.
Wybrała TVN.,Wybrał TVN.
"W wyniku uwłaszczenia załoga ZPR przejęła nieruchomości i działki w Warszawie, Toruniu, Poznaniu, Szczecinie, Kielcach, Lublinie, bazę cyrkową w Julinku, Pałac Prymasowski w Warszawie - majątek o wartości kilkudziesięciu miliardów starych złotych.","W wyniku uwłaszczenia załoga ZPR przejął nieruchomości i działki w Warszawie, Toruniu, Poznaniu, Szczecinie, Kielcach, Lublinie, bazę cyrkową w Julinku, Pałac Prymasowski w Warszawie - majątek o wartości kilkudziesięciu miliardów starych złotych."
"Bo jak ona, chora na cukrzycę, przeżyła trzy dni bez wody i jedzenia?","Bo jak ona, chora na cukrzycę, przeżył trzy dni bez wody i jedzenia?"
"Do dziennikarki Beaty Igielskiej zatelefonowała któregoś dnia krewna, bardzo zresztą daleka.","Do dziennikarki Beaty Igielskiej zatelefonował któregoś dnia krewna, bardzo zresztą daleka."
Krewna Teresa została ciocią.,Krewna Teresa został ciocią.
